Instance,Income
111994,27866.828182168294
111995,15351.55246347866
111996,32411.631507686598
111997,135667.66203295987
111998,15869.242058600636
111999,95772.19433987787
112000,112600.2380137571
112001,54876.13632171834
112002,28781.7989482162
112003,90210.70058482233
112004,12278.809776383487
112005,209623.77692726607
112006,10192.848266270663
112007,113957.63742481325
112008,289140.4345433653
112009,83211.1739814619
112010,40821.5081944425
112011,16302.263767939123
112012,12291.207780792593
112013,20807.74331296942
112014,94467.8665821188
112015,44276.97139163452
112016,46507.76634931486
112017,18285.472488283143
112018,126736.60496816327
112019,44426.63075780402
112020,22175.208837014303
112021,15290.423736219205
112022,82375.96017174509
112023,62978.6387695884
112024,13355.892679929602
112025,78109.85315175062
112026,53619.14657715485
112027,69156.45413615745
112028,25815.63846603529
112029,45986.52452766825
112030,98028.76181251009
112031,262124.72979989534
112032,276035.3442392306
112033,90253.53171066426
112034,178759.16301677507
112035,121496.67082960896
112036,204115.72776298266
112037,68292.05646248118
112038,193191.02806890834
112039,43372.48064837627
112040,72230.15669718212
112041,53374.329781905595
112042,33703.177683966074
112043,58075.51680437392
112044,29051.794177570293
112045,21568.862800737028
112046,247768.48536972963
112047,20068.66512179958
112048,15941.989052020219
112049,67144.86270678771
112050,38006.55289276824
112051,71439.90485112558
112052,77467.014752716
112053,256960.5521821317
112054,69395.0338504856
112055,20908.94612724838
112056,98258.34775053734
112057,22913.993658018375
112058,42047.6069460964
112059,31145.31259410877
112060,159275.05833069957
112061,125811.80009252125
112062,179609.4218926372
112063,69629.58026145406
112064,19017.874768686306
112065,39904.320477990055
112066,13815.66425034388
112067,116600.2720106316
112068,39013.75476780812
112069,135990.62866821047
112070,411024.70371939335
112071,51055.8873288917
112072,62260.702270604284
112073,34884.3458926642
112074,20573.737767114584
112075,9376.42894508224
112076,121899.60577613185
112077,697158.7534134978
112078,11021.236988760607
112079,146860.37917974332
112080,90631.10053272099
112081,826760.8355230782
112082,26403.40773258516
112083,49726.95173657363
112084,15442.679177114558
112085,46414.06259957992
112086,23721.062377815237
112087,59682.16839041594
112088,140999.8789054434
112089,40124.51131889971
112090,200133.2308625525
112091,26078.5639535532
112092,26644.694783360923
112093,64187.20269817992
112094,21125.514127659822
112095,35040.81805284171
112096,75544.03561445103
112097,21881.060806488076
112098,20708.139533683818
112099,24561.785704933427
112100,28664.939323699706
112101,140297.16382432368
112102,18975.362540352267
112103,147515.8167367235
112104,76877.09928812012
112105,55273.4422293678
112106,91434.73324671366
112107,120109.74775756207
112108,61952.35065618297
112109,22203.079040419914
112110,45672.63686043888
112111,27052.47220810833
112112,65223.75028600578
112113,71524.85850115916
112114,54623.60810847333
112115,19119.113032993766
112116,36149.08480009593
112117,83720.56544450775
112118,23848.17625856159
112119,27299.973184720828
112120,429008.0501878651
112121,118301.1680765466
112122,327302.20003638207
112123,250901.12898889836
112124,43833.28287137509
112125,195393.63309902712
112126,164089.01197415395
112127,15521.475856822108
112128,28816.070760410348
112129,97804.91444275435
112130,69077.6709246191
112131,30279.022384358264
112132,89934.00578497408
112133,241855.72154155618
112134,28151.649633686488
112135,11961.344478955967
112136,58251.25349317347
112137,16758.49841748595
112138,30684.647120873273
112139,62947.737874830884
112140,24061.995503917362
112141,43361.98504986242
112142,58862.24993935217
112143,112723.0299838735
112144,20227.842850701614
112145,24445.09918441589
112146,46092.33046130211
112147,206843.9607086279
112148,44427.80718179974
112149,63707.21446595519
112150,13315.411130387314
112151,407264.65297688736
112152,63525.390292251264
112153,59367.541306048806
112154,33036.38103717242
112155,96512.94557414898
112156,71613.22578202089
112157,107869.31505436289
112158,38962.10483001732
112159,296729.53707875294
112160,54081.49302968489
112161,102153.44653909034
112162,101693.95933955756
112163,15136.658320534203
112164,29992.08558674135
112165,150916.7099992846
112166,44786.1941645204
112167,25129.083080115815
112168,44393.39350030784
112169,352321.09078145295
112170,179178.49001639945
112171,41185.605969658835
112172,14608.222618512333
112173,107190.49295045913
112174,27621.36744422998
112175,34684.93087450987
112176,25445.78317553048
112177,104806.0540010091
112178,13575.963683719212
112179,21749.174052387756
112180,27049.759481559602
112181,12332.363883059894
112182,260801.17594450078
112183,99504.22678163531
112184,16374.168258350915
112185,219275.23006352398
112186,14347.406587616959
112187,147434.40690729461
112188,101412.63154719611
112189,36241.384995999506
112190,35850.24016047382
112191,97411.16447566873
112192,156749.63016111366
112193,25029.404971813787
112194,189962.63063664088
112195,37731.4093107312
112196,20556.501631002553
112197,239715.41571619952
112198,25960.121902281164
112199,39461.29618961368
112200,48491.242221860106
112201,332170.02839885064
112202,150588.13695355383
112203,23879.490278664707
112204,27753.802273573056
112205,9376.189361082015
112206,92413.99431539694
112207,211291.6754884543
112208,65767.72184101511
112209,318769.63612897927
112210,37911.81576170806
112211,258358.60786729475
112212,46014.39996454921
112213,25732.115093000575
112214,240547.988487313
112215,30397.91216789761
112216,137449.34419246722
112217,32703.167420353242
112218,34791.887810184715
112219,299053.5712468194
112220,25914.84962015566
112221,10076.922794960097
112222,31878.114046508435
112223,44993.367386275655
112224,96957.62917514477
112225,17304.18640204773
112226,65380.99876817009
112227,62360.78620319462
112228,116278.95609585883
112229,54821.59836111249
112230,173004.48114741797
112231,9873.110401584581
112232,60830.11929882342
112233,22318.317436301943
112234,41191.13382130964
112235,17004.2623957801
112236,88073.84921898643
112237,290548.46191069065
112238,33710.18385380311
112239,17780.704205139627
112240,15246.038382578197
112241,16075.536387896502
112242,39145.49277190954
112243,73988.66812262843
112244,179105.05867632132
112245,52522.823163468776
112246,36306.31991742525
112247,508485.1020848118
112248,96090.45767426613
112249,10618.074326561786
112250,54982.26204632997
112251,57168.03345078149
112252,42837.25205169882
112253,17127.77204138376
112254,371616.2800810781
112255,43694.76955669038
112256,24188.419911003704
112257,31055.221853274397
112258,525358.805548794
112259,142988.0779846046
112260,168673.26855541783
112261,279827.2046395364
112262,78106.14955647037
112263,27390.67006565777
112264,74729.26604963985
112265,15665.671557438594
112266,38786.44979145303
112267,42948.89680729534
112268,41864.519535682346
112269,513421.156496526
112270,17495.23941600163
112271,86603.10372476073
112272,39123.77134520243
112273,92641.54735641285
112274,10267.60291401
112275,203901.6333989497
112276,237929.58548286185
112277,64058.46490994435
112278,30048.374849582164
112279,19173.267378439068
112280,97164.21386923546
112281,53306.63982129239
112282,245399.349562384
112283,102213.74995578126
112284,63796.44755902582
112285,54787.322463845296
112286,37796.18273792224
112287,25550.01320756041
112288,89312.95440668217
112289,296695.31695136375
112290,195992.1838715362
112291,27310.808143492137
112292,653950.074644065
112293,19550.701276426273
112294,256222.57787848354
112295,35683.94787168627
112296,249623.91784453092
112297,49295.50133613658
112298,46232.76043011942
112299,31943.730189773065
112300,14204.653107116885
112301,24598.73367266557
112302,22370.92579395542
112303,19840.65724201336
112304,154026.5147734834
112305,18592.445649199224
112306,56334.13201818312
112307,31340.873563546065
112308,111092.6116294577
112309,58535.469296516494
112310,33086.10117440173
112311,80469.6820130157
112312,23187.95625310216
112313,115693.16432326254
112314,12576.59789872673
112315,166343.0315845731
112316,29947.709555313228
112317,27094.681695918218
112318,25873.6499425577
112319,12864.599005184626
112320,963189.0955309841
112321,42123.84635372291
112322,23132.36234596017
112323,76537.92636847253
112324,386792.1726128957
112325,221877.32196200357
112326,101880.41656120369
112327,174796.56644782034
112328,102108.30696873616
112329,122098.07551665224
112330,308858.2026512622
112331,396657.5384713942
112332,231708.16458361526
112333,237861.37014503783
112334,171384.79475049264
112335,65443.7943460716
112336,19965.18026058241
112337,295782.7912638843
112338,323029.6842682575
112339,314877.95657225547
112340,42234.14790412463
112341,1213499.8607609721
112342,18213.57691248502
112343,40120.282737144444
112344,30677.426214126543
112345,34171.26427573616
112346,63576.18260755031
112347,17028.8513845361
112348,18894.475579018235
112349,18284.370636832213
112350,109207.7443757868
112351,36380.454308261615
112352,29835.1430171426
112353,9600.728612921548
112354,139421.09510671982
112355,48779.62666129323
112356,63718.82739761714
112357,58635.081182016176
112358,99593.83707089437
112359,34664.83729425989
112360,22037.390176677007
112361,204223.91259840986
112362,62038.89259658962
112363,49165.18375122909
112364,8633.70219815149
112365,11554.717423154461
112366,14311.304992595266
112367,29492.11812166846
112368,35319.984229983325
112369,201228.5219026893
112370,11812.360101514287
112371,163368.5541369671
112372,124301.59922561215
112373,47991.08492985411
112374,16702.26037825429
112375,30998.051683532365
112376,103467.64889998524
112377,74595.82675522038
112378,46950.6667527208
112379,62093.20033905593
112380,63050.241119970284
112381,73028.48040270335
112382,96777.97877523079
112383,30059.821409508626
112384,213767.980444621
112385,17293.509704381726
112386,173119.35706616362
112387,47077.32650682501
112388,29987.043918910116
112389,28046.73765441229
112390,14981.90981501016
112391,21278.75313366211
112392,124029.14238660337
112393,52894.451890475204
112394,55342.49014326983
112395,20166.114025673636
112396,97896.41131361916
112397,39130.891411774974
112398,261381.6390516931
112399,106341.07293025695
112400,66006.71313995784
112401,102553.13483529289
112402,889880.8600629726
112403,109974.95976913994
112404,100581.94964071213
112405,45031.343132581664
112406,20969.43836297376
112407,16033.370397669629
112408,20221.762739447386
112409,47758.935963439784
112410,19976.802877960916
112411,145086.94115259033
112412,125905.15455743913
112413,18228.76849892084
112414,85615.4467630777
112415,151730.2962452784
112416,82053.21827914972
112417,112333.77854699618
112418,56725.431473544326
112419,92331.41593200515
112420,44639.16065294322
112421,180678.19973346512
112422,101685.62741193245
112423,41924.71767175061
112424,10747.739333160389
112425,18946.46930484123
112426,92248.9606412236
112427,306854.44985279755
112428,95001.16331768187
112429,14438.367648386067
112430,22527.761628083164
112431,164619.60147418143
112432,28063.237503548422
112433,78733.34295610993
112434,39548.544653114426
112435,43611.11548689966
112436,45183.84936331798
112437,75455.91092932744
112438,40209.33420631287
112439,15271.745189916423
112440,289487.45061044465
112441,38213.46049544971
112442,225447.9292124222
112443,37026.727467454366
112444,27702.75975355075
112445,63405.89912835177
112446,371220.9915403197
112447,820113.3277082472
112448,61297.00505501393
112449,84503.0776964937
112450,34463.22792726949
112451,104351.33178856639
112452,16108.485468914896
112453,29918.037040747357
112454,134097.30152682244
112455,497906.83315917104
112456,48519.25107147661
112457,220066.54092164428
112458,108620.80415110955
112459,35125.17473535117
112460,46443.751305173246
112461,419542.04556387896
112462,80343.79321438375
112463,47693.419854777174
112464,57132.75989884068
112465,169292.68441775636
112466,183534.79299867398
112467,33242.84785412482
112468,21072.998319265185
112469,56391.29426690844
112470,28207.550262973095
112471,56996.83477642119
112472,170866.46194313656
112473,97169.98809447871
112474,20799.836057871667
112475,64669.2963873961
112476,97436.6648658937
112477,33702.1745860311
112478,58699.94455308659
112479,18574.648265160275
112480,54257.846118242276
112481,118096.67468665828
112482,44689.71943536278
112483,156020.41751376723
112484,53843.07124996782
112485,47138.61855719895
112486,12818.431604080157
112487,18644.988278299603
112488,86950.00014835982
112489,47416.847573584186
112490,232482.57105429168
112491,35765.632557991026
112492,40482.68319745422
112493,271684.9855134572
112494,14166.602973810173
112495,9946.524633065772
112496,16186.459056949996
112497,267896.29672475246
112498,17029.94092454977
112499,47041.956284134045
112500,17554.112246152647
112501,51626.30544006199
112502,68868.66694524289
112503,42947.48631463514
112504,33840.7679583381
112505,20726.89132353815
112506,58210.22021458691
112507,76564.77381311702
112508,89678.83700588309
112509,14612.707427551664
112510,28745.10674894968
112511,87089.74270456424
112512,17231.75870243218
112513,75173.68910024986
112514,34341.00695366866
112515,71438.53687314404
112516,69689.05782691894
112517,10116.478730655166
112518,61520.01150215787
112519,17027.732990707416
112520,24444.68572072612
112521,185121.27250898446
112522,43585.43177637596
112523,25571.413113581148
112524,78809.09790811194
112525,12146.958691504029
112526,13715.230786197155
112527,39655.15547632046
112528,21482.60631015087
112529,22615.669455812364
112530,108723.75201046356
112531,123360.29055321294
112532,182585.5580420778
112533,110682.33015781334
112534,273718.8840569041
112535,38098.89849583134
112536,127042.66949750311
112537,37684.22863962157
112538,8505.161174023291
112539,124452.92443777362
112540,16721.650441795835
112541,73077.96105848823
112542,173654.41609257687
112543,53015.94767739512
112544,298334.9660371334
112545,29630.16102636886
112546,26066.12913417353
112547,79669.15501315054
112548,465838.41903497657
112549,97204.38093410355
112550,125521.58473051191
112551,11739.773774054858
112552,142378.36926599554
112553,56948.2655558634
112554,109120.87860248373
112555,22181.285060069025
112556,99904.36409574421
112557,53913.61366784012
112558,120223.39000242771
112559,23434.756152394868
112560,18955.881434804232
112561,215008.51753616062
112562,14618.28007702721
112563,149448.71654779254
112564,368595.0387053539
112565,134222.033489741
112566,25549.814605737432
112567,27291.312317756772
112568,28992.16149491441
112569,117827.25015187585
112570,31379.207325385676
112571,137131.7541773564
112572,173040.21272240952
112573,20458.239861932852
112574,105109.61876549578
112575,90028.60163367899
112576,79549.0981936621
112577,276953.2033691431
112578,299624.1850502877
112579,88891.34797167004
112580,107557.2623016782
112581,44835.188106361566
112582,25427.171553673947
112583,13026.483825982681
112584,216148.81509227844
112585,26973.59293505072
112586,14250.780980471913
112587,112589.91564186486
112588,64997.59709497915
112589,141191.07288309457
112590,15557.25196090758
112591,107062.74908268443
112592,21904.98659159822
112593,20305.070091293008
112594,31643.326283427017
112595,22980.7692779284
112596,81431.92238196859
112597,50558.33056604997
112598,31217.870408236213
112599,9500.00902259409
112600,20098.815780743767
112601,138381.1803098244
112602,23211.714649311638
112603,70005.61571683425
112604,171773.7878655353
112605,19035.008303682785
112606,58338.95620083493
112607,39313.103189743124
112608,69603.50557668794
112609,151817.56570070467
112610,63391.965197072626
